iter	RMSE
0	33.11698585
1	30.54153875
2	28.23477263
3	26.1004533
4	24.21859011
5	22.67571923
6	21.24302602
7	19.87476557
8	18.75455583
9	17.72552255
10	16.76563446
11	15.9693429
12	15.26988642
13	14.66888495
14	14.10269781
15	13.58048366
16	13.08731661
17	12.68343167
18	12.35048382
19	12.03282593
20	11.77648112
21	11.5518738
22	11.35598363
23	11.16527455
24	11.01473564
25	10.85722393
26	10.71709091
27	10.59938468
28	10.4810052
29	10.37991713
30	10.27209707
31	10.17532706
32	10.10246354
33	10.03633229
34	9.965124366
35	9.904270124
36	9.846594556
37	9.791577478
38	9.728302095
39	9.664916879
40	9.602607171
41	9.559342746
42	9.514344096
43	9.492930952
44	9.46786481
45	9.424354487
46	9.395301792
47	9.36417219
48	9.330419725
49	9.267337296
50	9.242558196
51	9.207683814
52	9.174817486
53	9.14130598
54	9.118452197
55	9.095468099
56	9.067558848
57	9.032442255
58	8.99327338
59	8.974179247
60	8.953455359
61	8.935180287
62	8.916434111
63	8.886449866
64	8.859132906
65	8.830053152
66	8.806860552
67	8.790677144
68	8.770103536
69	8.721924035
70	8.694817909
71	8.675003221
72	8.6611031
73	8.628607459
74	8.590617972
75	8.578284937
76	8.545805122
77	8.508511648
78	8.474167261
79	8.451779727
80	8.419718695
81	8.384579592
82	8.373561536
83	8.352292344
84	8.331666425
85	8.311592103
86	8.287498212
87	8.284273433
88	8.249514456
89	8.230843164
90	8.211185438
91	8.195973225
92	8.175646744
93	8.152682218
94	8.126433206
95	8.098335853
96	8.091123414
97	8.061634139
98	8.054925427
99	8.043901761
100	8.008814629
101	7.99064
102	7.950956569
103	7.918871708
104	7.910307698
105	7.890931392
106	7.880682083
107	7.854001386
108	7.838978015
109	7.829231536
110	7.796726387
111	7.769039982
112	7.759200428
113	7.741753095
114	7.718044054
115	7.698713178
116	7.679000526
117	7.667877556
118	7.644922544
119	7.622404721
120	7.611395493
121	7.594223645
122	7.585401953
123	7.564534597
124	7.534380669
125	7.513557533
126	7.484780797
127	7.461991951
128	7.446587377
129	7.439170554
130	7.420504722
131	7.408206555
132	7.38807817
133	7.370328129
134	7.354344017
135	7.35062857
136	7.334866798
137	7.316336884
138	7.296869197
139	7.279282996
140	7.257457413
141	7.241506187
142	7.232211109
143	7.212716834
144	7.196171389
145	7.17590204
146	7.158322779
147	7.148634878
148	7.142657981
149	7.129686237
150	7.115107122
151	7.098989711
152	7.077361691
153	7.057047369
154	7.032487813
155	7.016405231
156	7.005617353
157	6.988280311
158	6.973436075
159	6.954402364
160	6.935197534
161	6.912521123
162	6.908960357
163	6.897592058
164	6.881607272
165	6.866051946
166	6.844677427
167	6.833716975
168	6.820089904
169	6.801151138
170	6.790386268
171	6.781148447
172	6.779127335
173	6.772548293
174	6.769519357
175	6.755906903
176	6.746176571
177	6.736121442
178	6.72513382
179	6.71273136
180	6.698063779
181	6.684789342
182	6.674812369
183	6.665111947
184	6.657551208
185	6.642313229
186	6.631640604
187	6.617951606
188	6.595211249
189	6.575710638
190	6.573179914
191	6.557429985
192	6.545754292
193	6.537999406
194	6.526914447
195	6.510950338
196	6.501142341
197	6.494523279
198	6.489589167
199	6.475189455
200	6.459720149
201	6.451679755
202	6.443230024
203	6.428022004
204	6.415410552
205	6.394580032
206	6.387907849
207	6.379661715
208	6.365756096
209	6.356701976
210	6.345892413
211	6.332367959
212	6.321978009
213	6.306293114
214	6.286625167
215	6.275235875
216	6.263775726
217	6.250275742
218	6.238707911
219	6.225592237
220	6.214313159
221	6.207829642
222	6.196552312
223	6.180512926
224	6.169062158
225	6.166424959
226	6.165282701
227	6.164449118
228	6.156645702
