iter	RMSE
229	6.14659675
230	6.144986476
231	6.132644486
232	6.132338461
233	6.111975654
234	6.101746287
235	6.09643125
236	6.07959509
237	6.067612056
238	6.055193444
239	6.048443912
240	6.03797292
241	6.026856975
242	6.018416115
243	6.017323574
244	6.00233079
245	5.992698247
246	5.979455114
247	5.964817134
248	5.947347532
249	5.935534858
250	5.920810855
251	5.90252345
252	5.89219277
253	5.891959376
254	5.891739589
255	5.879011683
256	5.870513961
257	5.870242623
258	5.861085972
259	5.853481718
260	5.838366003
261	5.824388952
262	5.815664253
263	5.8143009
264	5.809580307
265	5.798523914
266	5.794223453
267	5.783200826
268	5.782409149
269	5.776204393
270	5.77039144
271	5.759379137
272	5.756042481
273	5.741186806
274	5.730079685
275	5.724437642
276	5.718166615
277	5.699841067
278	5.695763575
279	5.677108879
280	5.672261659
281	5.669196329
282	5.657548537
283	5.652947091
284	5.642577086
285	5.637638688
286	5.632298966
287	5.613280422
288	5.602268833
289	5.59556631
290	5.584682158
291	5.563834031
292	5.55455015
293	5.543965026
294	5.535511897
295	5.524134574
296	5.518130692
297	5.50690411
298	5.495575045
299	5.487013624
300	5.478295808
301	5.465946397
302	5.457780095
303	5.456931473
304	5.447316596
305	5.44602605
306	5.439953753
307	5.439429817
308	5.429886947
309	5.425402165
310	5.416035725
311	5.407239766
312	5.407061496
313	5.397767098
314	5.390088239
315	5.382284952
316	5.378687838
317	5.372287654
318	5.35334852
319	5.353182166
320	5.341346737
321	5.335296443
322	5.3179603
323	5.311035342
324	5.304114943
325	5.298214145
326	5.29149486
327	5.283551696
328	5.270928039
329	5.260812796
330	5.253577074
331	5.245160905
332	5.238783994
333	5.228601801
334	5.224977275
335	5.224703122
336	5.215904193
337	5.21096636
338	5.210349383
339	5.204048704
340	5.203693075
341	5.203523138
342	5.203365586
343	5.193447374
344	5.193292718
345	5.183851659
346	5.183171272
347	5.183090437
348	5.175184136
349	5.158660778
350	5.157892625
351	5.147181471
352	5.134526443
353	5.12869038
354	5.125698048
355	5.11745399
356	5.114117366
357	5.113950197
358	5.112900794
359	5.109854294
360	5.102430603
361	5.095458116
362	5.087643297
363	5.072812948
364	5.070360574
365	5.066246663
366	5.063249587
367	5.041542777
368	5.032064403
369	5.023374614
370	5.021002533
371	5.013457345
372	5.003075432
373	4.999654025
374	4.994409084
375	4.981638294
376	4.972699683
377	4.972590067
378	4.96821208
379	4.962779981
380	4.951225393
381	4.94143238
382	4.93652729
383	4.931604445
384	4.922114311
385	4.911144837
386	4.897880221
387	4.886771315
388	4.884558038
389	4.87280247
390	4.872145987
391	4.859156443
392	4.853160633
393	4.841128269
394	4.834899161
395	4.829410101
396	4.821758433
397	4.814264875
398	4.810723594
399	4.80432924
400	4.79004275
401	4.789847474
402	4.784876261
403	4.779279864
404	4.779173
405	4.771725096
406	4.767866193
407	4.762400927
408	4.756069309
409	4.751163925
410	4.748099093
411	4.744198115
412	4.737139501
413	4.730058531
414	4.722596846
415	4.713784985
416	4.712183534
417	4.708487693
418	4.701071771
419	4.68810986
420	4.682653935
421	4.674653171
422	4.667661369
423	4.66065491
424	4.655198115
425	4.650764703
426	4.646296441
427	4.639319317
428	4.628442024
429	4.621249214
430	4.615920492
431	4.609849279
432	4.609762193
433	4.603932438
434	4.59083506
435	4.587028576
436	4.581576957
437	4.574150971
438	4.568092115
439	4.564858504
440	4.558602786
441	4.553373608
442	4.553300671
443	4.543491521
444	4.53691549
445	4.533761139
446	4.526112189
447	4.520027454
448	4.516468042
449	4.516331252
450	4.506615337
451	4.49954773
452	4.494107554
453	4.487174735
454	4.480332448
455	4.472064839
456	4.468876019
457	4.461894174
458	4.454975953
459	4.446293756
460	4.439777952
461	4.433034265
462	4.426421038
463	4.423054093
464	4.420057409
465	4.414961057
466	4.404865488
467	4.396324939
468	4.391398586
469	4.383733254
470	4.380264429
471	4.374072345
472	4.367092692
473	4.363345712
474	4.358942581
475	4.354579586
476	4.349790145
477	4.347572273
478	4.342598716
479	4.334158514
480	4.328286998
481	4.326402932
482	4.322466912
483	4.319588205
484	4.31214594
485	4.303273813
486	4.296190145
487	4.296128095
488	4.290596042
489	4.285933648
490	4.280409765
491	4.275188949
492	4.268289746
493	4.259317279
494	4.251860142
495	4.248744097
496	4.241938309
497	4.234895205
498	4.229407242
499	4.221648107
